"행정구역","2021년07월_계_총인구수","2021년07월_계_연령구간인구수","2021년07월_계_0~9세","2021년07월_계_10~19세","2021년07월_계_20~29세","2021년07월_계_30~39세","2021년07월_계_40~49세","2021년07월_계_50~59세","2021년07월_계_60~69세","2021년07월_계_70~79세","2021년07월_계_80~89세","2021년07월_계_90~99세","2021년07월_계_100세 이상"
"서울특별시 노원구 하계2동(1135061200)","22,280","22,280","1,445","2,727","3,006","2,511","3,927","3,853","2,638","1,361","710","101","1"
"서울특별시 노원구 중계본동(1135061900)","24,306","24,306","1,497","4,441","3,122","1,833","4,885","4,539","2,308","1,054","555","68","4"
"서울특별시 노원구 중계1동(1135062100)","27,069","27,069","1,917","5,607","2,932","1,970","6,390","4,554","2,159","959","508","67","6"
"서울특별시 노원구 중계4동(1135062400)","20,201","20,201","1,106","2,203","2,531","1,922","3,372","3,574","2,676","1,897","795","121","4"
"서울특별시 노원구 중계2.3동(1135062500)","34,736","34,736","1,920","3,102","4,181","4,159","5,634","5,644","4,945","3,290","1,631","222","8"
"서울특별시 노원구 상계1동(1135063000)","38,515","38,515","2,249","3,280","5,177","4,824","5,591","6,911","6,110","2,897","1,265","200","11"
"서울특별시 노원구 상계2동(1135064000)","20,195","20,195","952","1,798","3,209","2,323","2,948","3,895","2,954","1,416","602","92","6"
"서울특별시 노원구 상계3.4동(1135066500)","26,460","26,460","1,342","2,026","3,196","2,839","3,796","4,710","4,440","2,721","1,231","136","23"
"서울특별시 노원구 상계5동(1135067000)","24,226","24,226","1,056","1,996","3,400","2,611","3,543","4,457","3,793","2,253","955","153","9"
"서울특별시 노원구 상계6.7동(1135069500)","32,983","32,983","2,331","2,943","4,497","4,861","5,360","5,652","4,118","1,988","1,032","194","7"
"서울특별시 노원구 상계8동(1135070000)","22,759","22,759","2,345","1,957","2,739","4,716","3,829","3,041","2,311","1,176","555","86","4"
"서울특별시 노원구 상계9동(1135071000)","20,687","20,687","1,275","2,014","2,710","2,752","3,356","3,559","2,866","1,363","672","117","3"
"서울특별시 노원구 상계10동(1135072000)","18,732","18,732","1,302","1,621","2,629","2,903","2,931","3,267","2,450","1,017","525","86","1"
"서울특별시 은평구 (1138000000)","475,008","475,008","28,433","37,693","66,261","67,237","74,873","76,832","66,141","38,723","16,504","2,027","284"
"서울특별시 은평구 녹번동(1138051000)","36,845","36,845","2,381","2,223","4,954","5,991","5,591","5,859","5,237","3,124","1,307","172","6"
"서울특별시 은평구 불광제1동(1138052000)","38,840","38,840","2,271","2,604","5,241","5,344","5,776","6,604","5,722","3,449","1,625","192","12"
"서울특별시 은평구 불광제2동(1138053000)","27,945","27,945","1,061","1,705","4,270","3,805","3,726","4,853","4,504","2,742","1,136","129","14"
